"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Carey Price",8500,"Mon@Van 10:00PM ET",8.543,"Mon"
"C","Tyler Seguin",8400,"Anh@Dal 08:30PM ET",6.000,"Dal"
"LW","Zach Parise",8000,"Edm@Min 08:00PM ET",5.313,"Min"
"LW","Jamie Benn",7800,"Anh@Dal 08:30PM ET",5.625,"Dal"
"LW","Max Pacioretty",7700,"Mon@Van 10:00PM ET",5.500,"Mon"
"RW","Vladimir Tarasenko",7600,"TB@StL 08:00PM ET",5.375,"StL"
"C","Steven Stamkos",7500,"TB@StL 08:00PM ET",3.444,"TB"
"G","Roberto Luongo",7400,"Col@Fla 07:30PM ET",4.933,"Fla"
"G","Jonathan Quick",7400,"LA@Wpg 08:00PM ET",5.029,"LA"
"G","Ben Bishop",7400,"TB@StL 08:00PM ET",4.375,"TB"
"G","Ryan Miller",7300,"Mon@Van 10:00PM ET",4.600,"Van"
"G","Tuukka Rask",7300,"Ari@Bos 07:00PM ET",1.360,"Bos"
"C","Nathan MacKinnon",7300,"Col@Fla 07:30PM ET",5.071,"Col"
"RW","Blake Wheeler",7200,"LA@Wpg 08:00PM ET",5.438,"Wpg"
"G","Devan Dubnyk",7200,"Edm@Min 08:00PM ET",4.571,"Min"
"G","Semyon Varlamov",7200,"Col@Fla 07:30PM ET",1.760,"Col"
"G","Brian Elliott",7200,"TB@StL 08:00PM ET",4.520,"StL"
"G","Mike Condon",7200,"Mon@Van 10:00PM ET",6.900,"Mon"
"G","Jake Allen",7100,"TB@StL 08:00PM ET",3.333,"StL"
"C","Henrik Zetterberg",7000,"Car@Det 07:30PM ET",4.000,"Det"
"C","Ryan Getzlaf",7000,"Anh@Dal 08:30PM ET",1.875,"Anh"
"RW","Corey Perry",7000,"Anh@Dal 08:30PM ET",1.625,"Anh"
"G","Jimmy Howard",7000,"Car@Det 07:30PM ET",5.250,"Det"
"G","Petr Mrazek",7000,"Car@Det 07:30PM ET",6.050,"Det"
"G","Steve Mason",6900,"Buf@Phi 07:00PM ET",3.240,"Phi"
"G","Frederik Andersen",6900,"Anh@Dal 08:30PM ET",3.600,"Anh"
"G","Cory Schneider",6800,"Cls@NJ 07:00PM ET",5.167,"NJ"
"G","Jhonas Enroth",6800,"LA@Wpg 08:00PM ET",9.800,"LA"
