"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"LW","Alex Ovechkin",9300,"Pit@Was 08:00PM ET",6.500,"Was"
"G","Braden Holtby",8000,"Pit@Was 08:00PM ET",4.900,"Was"
"G","Pekka Rinne",7900,"Nsh@SJ 10:30PM ET",6.057,"Nsh"
"G","Marc-Andre Fleury",7700,"Pit@Was 08:00PM ET",5.275,"Pit"
"C","Sidney Crosby",7700,"Pit@Was 08:00PM ET",2.563,"Pit"
"RW","Phil Kessel",7200,"Pit@Was 08:00PM ET",3.313,"Pit"
"G","Martin Jones",7200,"Nsh@SJ 10:30PM ET",6.400,"SJ"
"G","Andrew Hammond",7100,"Cgy@Ott 07:30PM ET",1.600,"Ott"
"C","Evgeni Malkin",7000,"Pit@Was 08:00PM ET",3.813,"Pit"
"C","Joe Pavelski",7000,"Nsh@SJ 10:30PM ET",4.400,"SJ"
"G","Craig Anderson",6900,"Cgy@Ott 07:30PM ET",4.800,"Ott"
"G","Carter Hutton",6900,"Nsh@SJ 10:30PM ET",7.600,"Nsh"
"G","Jeff Zatkoff",6800,"Pit@Was 08:00PM ET",0,"Pit"
"D","Erik Karlsson",6800,"Cgy@Ott 07:30PM ET",4.000,"Ott"
"G","Philipp Grubauer",6800,"Pit@Was 08:00PM ET",2.800,"Was"
"G","Jonas Hiller",6700,"Cgy@Ott 07:30PM ET",2.133,"Cgy"
"C","Nicklas Backstrom",6600,"Pit@Was 08:00PM ET",6.000,"Was"
"D","John Carlson",6400,"Pit@Was 08:00PM ET",5.000,"Was"
"G","Alex Stalock",6400,"Nsh@SJ 10:30PM ET",2.600,"SJ"
"D","Brent Burns",6200,"Nsh@SJ 10:30PM ET",4.338,"SJ"
"RW","James Neal",6200,"Nsh@SJ 10:30PM ET",5.150,"Nsh"
"C","Kyle Turris",6100,"Cgy@Ott 07:30PM ET",4.063,"Ott"
"G","Joni Ortio",6100,"Cgy@Ott 07:30PM ET",1.600,"Cgy"
"LW","Johnny Gaudreau",6100,"Cgy@Ott 07:30PM ET",3.278,"Cgy"
"LW","Patrick Marleau",5900,"Nsh@SJ 10:30PM ET",3.438,"SJ"
"D","Mark Giordano",5900,"Cgy@Ott 07:30PM ET",3.611,"Cgy"
